店名,情報,リンク
岡田金魚店,メンバー／黒澤ルビィ 住所／沼津市本町29 営業時間／10：00～19：00 定休日／木曜日 店舗のホームページを見る ,
富士急シティバス,メンバー／松浦果南 住所／沼津市大手町3-2-1 沼津富士急ビル1F (スタンプは富士急シティバス沼津駅南口窓口に設置しています) 営業時間／平日10：00～18：00土曜日10：00～17：00 定休日／日曜日・祝日 店舗のホームページを見る ,
ミニストップ　沼津内浦店,メンバー／国木田花丸 住所／沼津市内浦小海91-10 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
翠泉閣,メンバー／桜内梨子 住所／沼津市下香貫林ノ下2031-5 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
ジャンボエンチョー　沼津店,メンバー／津島善子 住所／沼津市下香貫前原1481-2 営業時間／9：30～19：00 定休日／不定休 店舗のホームページを見る ,
アーケードフルーツ,メンバー／高海千歌 住所／沼津市町方町58 営業時間／9：30～19：30 定休日／水曜日 ,
はごろも荘,メンバー／渡辺曜 住所／沼津市西浦江梨325-2 営業時間／8：00～17：00 定休日／なし 店舗のホームページを見る ,
ココチホテル沼津,メンバー／黒澤ダイヤ 住所／沼津市高島町1-12 営業時間／年中無休 定休日／なし 店舗のホームページを見る ,
伊豆箱根タクシー,メンバー／小原鞠莉 住所／伊豆の国市南条773-2 営業時間／7：00～19：00 定休日／なし 店舗のホームページを見る ,
ヤマカ水産直売所,メンバー／国木田花丸 住所／沼津市五月町4-23 加藤パレス1F 営業時間／11：00～18：00 定休日／月曜日 店舗のホームページを見る ,
肉バル＆ワイン ベルサイユのバル,メンバー／高海千歌 住所／沼津市大手町4-5-4 遊楽館ビル1F 営業時間／11：30～19：00 定休日／不定休 店舗のホームページを見る ,
沼津市芹沢光治良記念館,メンバー／国木田花丸 住所／沼津市我入道蔓陀ヶ原517－1 営業時間／9：00～16：30 定休日／毎週月曜日（休日にあたるときはその翌日）休日の翌日（土曜日・日曜日・休日を除く）年末年始（12月29日～1月3日） 店舗のホームページを見る ,
桃中軒,メンバー／松浦果南 住所／沼津市大手町1-1-1 営業時間／7：00～19：00 定休日／なし ※スタンプは沼津駅南口改札横売店に設置しています。 店舗のホームページを見る ,
café　うみいろ,メンバー／黒澤ルビィ 住所／沼津市千本港町19-5 営業時間／10：00～16：00 定休日／毎週月曜日　※祝日の場合は翌日 店舗のホームページを見る ,
